market,freq,label,rows,first,last,span,nan,secs
stock,1d,600519 茅台 hfq,5939,2001-08-27 00:00,2026-06-12 00:00,24.8y,0,2.6
stock,1d,000001 平安银行 hfq,8414,1991-04-03 00:00,2026-06-12 00:00,35.2y,0,2.0
index,1d,000001 上证综指,8660,1990-12-19 00:00,2026-06-12 00:00,35.5y,0,0.4
fut,1d,RB0 螺纹主连,4178,2009-03-27 00:00,2026-06-12 00:00,17.2y,0,1.7
fut,1d,IF0 股指主连,2280,2017-01-17 00:00,2026-06-12 00:00,9.4y,0,1.3
fut,1d,T0 国债主连,2280,2017-01-17 00:00,2026-06-12 00:00,9.4y,0,1.3
fx,1d,USDCNY 中行,4558,2010-01-04 00:00,2026-06-13 00:00,16.4y,246,93.5
bond,1d,sh019547 国债,2374,2016-08-25 00:00,2026-06-12 00:00,9.8y,0,1.9
fut,5min,RB0 螺纹主连,1023,2026-05-25 10:05,2026-06-12 23:00,0.0y,0,1.2
fut,60min,RB0 螺纹主连,1023,2025-09-19 23:00,2026-06-12 23:00,0.7y,0,1.3
